[2018-01-29 11:58:24]--断线重连, 玩家=0，状态=1
[2018-01-29 11:58:27]--断线重连, 玩家=1，状态=1
[2018-01-29 11:58:29]--断线重连, 玩家=2，状态=1
[2018-01-29 11:59:01]--断线重连, 玩家=0，状态=1
[2018-01-29 11:59:03]--断线重连, 玩家=1，状态=1
[2018-01-29 11:59:05]--断线重连, 玩家=2，状态=1
[2018-01-29 11:59:38]--断线重连, 玩家=0，状态=1
[2018-01-29 11:59:40]--断线重连, 玩家=1，状态=1
[2018-01-29 11:59:42]--断线重连, 玩家=2，状态=1
