[2018-01-19 13:51:11]--断线重连, 玩家=0，状态=1
[2018-01-19 13:51:13]--断线重连, 玩家=1，状态=1
[2018-01-19 13:51:15]--断线重连, 玩家=2，状态=1
[2018-01-19 13:51:48]--断线重连, 玩家=0，状态=1
[2018-01-19 13:51:50]--断线重连, 玩家=1，状态=1
[2018-01-19 13:51:52]--断线重连, 玩家=2，状态=1
[2018-01-19 13:52:25]--断线重连, 玩家=0，状态=1
[2018-01-19 13:52:27]--断线重连, 玩家=1，状态=1
[2018-01-19 13:52:29]--断线重连, 玩家=2，状态=1
[2018-01-19 13:53:02]--断线重连, 玩家=0，状态=1
[2018-01-19 13:53:04]--断线重连, 玩家=1，状态=1
[2018-01-19 13:53:06]--断线重连, 玩家=2，状态=1
[2018-01-19 13:53:39]--断线重连, 玩家=0，状态=1
[2018-01-19 13:53:41]--断线重连, 玩家=1，状态=1
[2018-01-19 13:53:43]--断线重连, 玩家=2，状态=1
[2018-01-19 13:54:15]--断线重连, 玩家=0，状态=1
[2018-01-19 13:54:18]--断线重连, 玩家=1，状态=1
[2018-01-19 13:54:20]--断线重连, 玩家=2，状态=1
[2018-01-19 13:54:52]--断线重连, 玩家=0，状态=1
[2018-01-19 13:54:55]--断线重连, 玩家=1，状态=1
[2018-01-19 13:54:57]--断线重连, 玩家=2，状态=1
[2018-01-19 13:55:29]--断线重连, 玩家=0，状态=1
[2018-01-19 13:55:31]--断线重连, 玩家=1，状态=1
[2018-01-19 13:55:34]--断线重连, 玩家=2，状态=1
[2018-01-19 13:56:06]--断线重连, 玩家=0，状态=1
[2018-01-19 13:56:08]--断线重连, 玩家=1，状态=1
[2018-01-19 13:56:11]--断线重连, 玩家=2，状态=1
[2018-01-19 13:56:43]--断线重连, 玩家=0，状态=1
[2018-01-19 13:56:45]--断线重连, 玩家=1，状态=1
[2018-01-19 13:56:48]--断线重连, 玩家=2，状态=1
[2018-01-19 13:57:20]--断线重连, 玩家=0，状态=1
[2018-01-19 13:57:22]--断线重连, 玩家=1，状态=1
[2018-01-19 13:57:24]--断线重连, 玩家=2，状态=1
[2018-01-19 13:57:56]--断线重连, 玩家=0，状态=1
[2018-01-19 13:57:59]--断线重连, 玩家=1，状态=1
[2018-01-19 13:58:01]--断线重连, 玩家=2，状态=1
[2018-01-19 13:58:32]--断线重连, 玩家=0，状态=1
[2018-01-19 13:58:36]--断线重连, 玩家=1，状态=1
[2018-01-19 13:58:38]--断线重连, 玩家=2，状态=1
[2018-01-19 13:59:09]--断线重连, 玩家=0，状态=1
[2018-01-19 13:59:13]--断线重连, 玩家=1，状态=1
[2018-01-19 13:59:15]--断线重连, 玩家=2，状态=1
[2018-01-19 13:59:46]--断线重连, 玩家=0，状态=1
[2018-01-19 13:59:50]--断线重连, 玩家=1，状态=1
[2018-01-19 13:59:52]--断线重连, 玩家=2，状态=1
[2018-01-19 14:00:23]--断线重连, 玩家=0，状态=1
[2018-01-19 14:00:27]--断线重连, 玩家=1，状态=1
[2018-01-19 14:00:29]--断线重连, 玩家=2，状态=1
[2018-01-19 14:01:00]--断线重连, 玩家=0，状态=1
[2018-01-19 14:01:04]--断线重连, 玩家=1，状态=1
[2018-01-19 14:01:06]--断线重连, 玩家=2，状态=1
[2018-01-19 14:01:37]--断线重连, 玩家=0，状态=1
[2018-01-19 14:01:41]--断线重连, 玩家=1，状态=1
[2018-01-19 14:01:43]--断线重连, 玩家=2，状态=1
