2018-05-29 14:32:33-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:767:[IM] hn2202 成功获取游戏名字ASS_GP_LIST_NAME
2018-05-29 14:32:33-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:789:[IM] hn2202 成功获取房间信息ASS_GP_LIST_ROOM
2018-05-29 14:32:33-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::EnterGameRoom:1060:[IM] hn2202 建立GameRoomEx
2018-05-29 14:32:34-[8056]GameRoomEx.cpp:CGameRoomEx::LoginGServer:562:[IG] hn2202 登陆GServer
2018-05-29 14:32:34-[8056]GameRoomEx.cpp:CGameRoomEx::OnLogonMessage:323:[EG] hn2202 登陆失败
2018-05-29 14:32:35-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:474:[IM] 连接MServer事件dzb.hotniao.com:3015-0
2018-05-29 14:32:35-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1012:[IM] hn2203 登陆Mserver
2018-05-29 14:32:35-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:644:[IM] hn2203 登陆成功
2018-05-29 14:32:35-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:748:[IM] hn2203 请求游戏列表
2018-05-29 14:32:35-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:760:[IM] hn2203 成功获取游戏类型ASS_GP_LIST_KIND
2018-05-29 14:32:35-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:767:[IM] hn2203 成功获取游戏名字ASS_GP_LIST_NAME
2018-05-29 14:32:35-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:767:[IM] hn2203 成功获取游戏名字ASS_GP_LIST_NAME
2018-05-29 14:32:35-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:767:[IM] hn2203 成功获取游戏名字ASS_GP_LIST_NAME
2018-05-29 14:32:35-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:767:[IM] hn2203 成功获取游戏名字ASS_GP_LIST_NAME
2018-05-29 14:32:35-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:789:[IM] hn2203 成功获取房间信息ASS_GP_LIST_ROOM
2018-05-29 14:32:35-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::EnterGameRoom:1060:[IM] hn2203 建立GameRoomEx
2018-05-29 14:32:36-[8056]GameRoomEx.cpp:CGameRoomEx::LoginGServer:562:[IG] hn2203 登陆GServer
2018-05-29 14:32:36-[8056]GameRoomEx.cpp:CGameRoomEx::OnLogonMessage:323:[EG] hn2203 登陆失败
2018-05-29 14:32:37-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:474:[IM] 连接MServer事件dzb.hotniao.com:3015-0
2018-05-29 14:32:37-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1012:[IM] hn2204 登陆Mserver
2018-05-29 14:32:37-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:644:[IM] hn2204 登陆成功
2018-05-29 14:32:37-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:748:[IM] hn2204 请求游戏列表
2018-05-29 14:32:37-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:760:[IM] hn2204 成功获取游戏类型ASS_GP_LIST_KIND
2018-05-29 14:32:37-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:767:[IM] hn2204 成功获取游戏名字ASS_GP_LIST_NAME
2018-05-29 14:32:37-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:767:[IM] hn2204 成功获取游戏名字ASS_GP_LIST_NAME
2018-05-29 14:32:37-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:767:[IM] hn2204 成功获取游戏名字ASS_GP_LIST_NAME
2018-05-29 14:32:37-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:767:[IM] hn2204 成功获取游戏名字ASS_GP_LIST_NAME
2018-05-29 14:32:37-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:789:[IM] hn2204 成功获取房间信息ASS_GP_LIST_ROOM
2018-05-29 14:32:37-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::EnterGameRoom:1060:[IM] hn2204 建立GameRoomEx
2018-05-29 14:32:38-[8056]GameRoomEx.cpp:CGameRoomEx::LoginGServer:562:[IG] hn2204 登陆GServer
