2018-02-28 18:47:46-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1302 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:46-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1302 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:46-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1302 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:46-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:778:[IM] hn1302 成功获取房间信息ASS_GP_LIST_ROOM
2018-02-28 18:47:46-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::EnterGameRoom:1049:[IM] hn1302 建立GameRoomEx
2018-02-28 18:47:47-[18928]GameRoomEx.cpp:CGameRoomEx::LoginGServer:562:[IG] hn1302 登陆GServer
2018-02-28 18:47:47-[18928]GameRoomEx.cpp:CGameRoomEx::OnLogonMessage:323:[EG] hn1302 登陆失败
2018-02-28 18:47:48-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:463:[IM] 连接MServer事件dzb.hotniao.com:3015-0
2018-02-28 18:47:48-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1001:[IM] hn1303 登陆Mserver
2018-02-28 18:47:48-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:633:[IM] hn1303 登陆成功
2018-02-28 18:47:48-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:737:[IM] hn1303 请求游戏列表
2018-02-28 18:47:48-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:749:[IM] hn1303 成功获取游戏类型ASS_GP_LIST_KIND
2018-02-28 18:47:48-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1303 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:48-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1303 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:48-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1303 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:48-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1303 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:48-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketReadEvent:428:[IM] hn1303 未处理消息 119:1
2018-02-28 18:47:48-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:778:[IM] hn1303 成功获取房间信息ASS_GP_LIST_ROOM
2018-02-28 18:47:48-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::EnterGameRoom:1049:[IM] hn1303 建立GameRoomEx
2018-02-28 18:47:49-[18928]GameRoomEx.cpp:CGameRoomEx::LoginGServer:562:[IG] hn1303 登陆GServer
2018-02-28 18:47:49-[18928]GameRoomEx.cpp:CGameRoomEx::OnLogonMessage:323:[EG] hn1303 登陆失败
2018-02-28 18:47:50-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:463:[IM] 连接MServer事件dzb.hotniao.com:3015-0
2018-02-28 18:47:50-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1001:[IM] hn1304 登陆Mserver
2018-02-28 18:47:50-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:633:[IM] hn1304 登陆成功
2018-02-28 18:47:50-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:737:[IM] hn1304 请求游戏列表
2018-02-28 18:47:50-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:749:[IM] hn1304 成功获取游戏类型ASS_GP_LIST_KIND
2018-02-28 18:47:50-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1304 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:50-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1304 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:50-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1304 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:50-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1304 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:50-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:778:[IM] hn1304 成功获取房间信息ASS_GP_LIST_ROOM
2018-02-28 18:47:50-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::EnterGameRoom:1049:[IM] hn1304 建立GameRoomEx
2018-02-28 18:47:51-[18928]GameRoomEx.cpp:CGameRoomEx::LoginGServer:562:[IG] hn1304 登陆GServer
2018-02-28 18:47:51-[18928]GameRoomEx.cpp:CGameRoomEx::OnLogonMessage:323:[EG] hn1304 登陆失败
2018-02-28 18:47:52-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:463:[IM] 连接MServer事件dzb.hotniao.com:3015-0
2018-02-28 18:47:52-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1001:[IM] hn1305 登陆Mserver
2018-02-28 18:47:52-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:633:[IM] hn1305 登陆成功
2018-02-28 18:47:52-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:737:[IM] hn1305 请求游戏列表
2018-02-28 18:47:52-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:749:[IM] hn1305 成功获取游戏类型ASS_GP_LIST_KIND
2018-02-28 18:47:52-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1305 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:52-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1305 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:52-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1305 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:52-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1305 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:52-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:778:[IM] hn1305 成功获取房间信息ASS_GP_LIST_ROOM
2018-02-28 18:47:52-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::EnterGameRoom:1049:[IM] hn1305 建立GameRoomEx
2018-02-28 18:47:53-[18928]GameRoomEx.cpp:CGameRoomEx::LoginGServer:562:[IG] hn1305 登陆GServer
2018-02-28 18:47:53-[18928]GameRoomEx.cpp:CGameRoomEx::OnLogonMessage:323:[EG] hn1305 登陆失败
2018-02-28 18:47:54-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:463:[IM] 连接MServer事件dzb.hotniao.com:3015-0
2018-02-28 18:47:54-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1001:[IM] hn1306 登陆Mserver
2018-02-28 18:47:54-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:633:[IM] hn1306 登陆成功
2018-02-28 18:47:54-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:737:[IM] hn1306 请求游戏列表
2018-02-28 18:47:54-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:749:[IM] hn1306 成功获取游戏类型ASS_GP_LIST_KIND
2018-02-28 18:47:54-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1306 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:54-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1306 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:54-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1306 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:54-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1306 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:54-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:778:[IM] hn1306 成功获取房间信息ASS_GP_LIST_ROOM
2018-02-28 18:47:54-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::EnterGameRoom:1049:[IM] hn1306 建立GameRoomEx
2018-02-28 18:47:55-[18928]GameRoomEx.cpp:CGameRoomEx::LoginGServer:562:[IG] hn1306 登陆GServer
2018-02-28 18:47:55-[18928]GameRoomEx.cpp:CGameRoomEx::OnLogonMessage:323:[EG] hn1306 登陆失败
2018-02-28 18:47:56-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:463:[IM] 连接MServer事件dzb.hotniao.com:3015-0
2018-02-28 18:47:56-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1001:[IM] hn1307 登陆Mserver
2018-02-28 18:47:56-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:633:[IM] hn1307 登陆成功
2018-02-28 18:47:56-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:737:[IM] hn1307 请求游戏列表
2018-02-28 18:47:56-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:749:[IM] hn1307 成功获取游戏类型ASS_GP_LIST_KIND
2018-02-28 18:47:56-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1307 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:56-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1307 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:56-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1307 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:56-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1307 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:56-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:778:[IM] hn1307 成功获取房间信息ASS_GP_LIST_ROOM
2018-02-28 18:47:56-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::EnterGameRoom:1049:[IM] hn1307 建立GameRoomEx
2018-02-28 18:47:57-[18928]GameRoomEx.cpp:CGameRoomEx::LoginGServer:562:[IG] hn1307 登陆GServer
2018-02-28 18:47:57-[18928]GameRoomEx.cpp:CGameRoomEx::OnLogonMessage:323:[EG] hn1307 登陆失败
2018-02-28 18:47:58-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:463:[IM] 连接MServer事件dzb.hotniao.com:3015-0
2018-02-28 18:47:58-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1001:[IM] hn1308 登陆Mserver
2018-02-28 18:47:58-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:633:[IM] hn1308 登陆成功
2018-02-28 18:47:58-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:737:[IM] hn1308 请求游戏列表
