10,33,41,ERROR_Station,RoomID=511525,byPlayCount:3
10,33,41,Send,UserID:0,bAssID=181,
13,29,35,ERROR_Station,RoomID=734590,byPlayCount:3
13,29,35,Send,UserID:0,bAssID=181,
13,29,41,Reply,UserId=0,bAssID=1,    ///用户同意		 
18,44,11,ERROR_Station,RoomID=011484,byPlayCount:3
18,44,11,Send,UserID:0,bAssID=181,
18,44,12,Reply,UserId=0,bAssID=1,    ///用户同意		 
18,46,53,ERROR_Station,RoomID=011484,byPlayCount:3
18,46,53,Send,UserID:0,bAssID=181,
18,46,53,Send,UserID:1,bAssID=181,
18,46,54,Reply,UserId=1,bAssID=1,    ///用户同意		 
18,47,36,ERROR_Station,RoomID=011484,byPlayCount:3
18,47,36,Send,UserID:0,bAssID=181,
18,47,36,Send,UserID:1,bAssID=181,
18,47,36,Send,UserID:2,bAssID=181,
18,47,37,Reply,UserId=2,bAssID=1,    ///用户同意		 
18,47,37,Send,UserID:0,bAssID=120,	//升级游戏开始	   
18,47,37,Send,UserID:1,bAssID=120,	//升级游戏开始	   
18,47,37,Send,UserID:2,bAssID=120,	//升级游戏开始	   
18,47,37,Send,UserID:0,bAssID=121,	//确定至筛子点数	  
18,47,37,Send,UserID:1,bAssID=121,	//确定至筛子点数	  
18,47,37,Send,UserID:2,bAssID=121,	//确定至筛子点数	  
18,47,40,Send,UserID:0,bAssID=122,	//发牌消息			 
18,47,40,Send,UserID:1,bAssID=122,	//发牌消息			 
18,47,40,Send,UserID:2,bAssID=122,	//发牌消息			 
18,47,41,Send,UserID:0,bAssID=123,	//通知开始出牌	   
18,47,41,Send,UserID:1,bAssID=123,	//通知开始出牌	   
18,47,41,Send,UserID:2,bAssID=123,	//通知开始出牌	   
18,47,43,Reply,UserId=2,bAssID=125,	//玩家出牌			 
18,47,43,Send,UserID:0,bAssID=126,	//玩家出牌结果 	   
18,47,43,Send,UserID:1,bAssID=126,	//玩家出牌结果 	   
18,47,43,Send,UserID:2,bAssID=126,	//玩家出牌结果 	   
18,47,44,Send,UserID:0,bAssID=127,	//抓牌			   
18,47,44,Send,UserID:1,bAssID=127,	//抓牌			   
18,47,44,Send,UserID:2,bAssID=127,	//抓牌			   
18,47,45,Reply,UserId=1,bAssID=125,	//玩家出牌			 
18,47,45,Send,UserID:0,bAssID=126,	//玩家出牌结果 	   
18,47,45,Send,UserID:1,bAssID=126,	//玩家出牌结果 	   
18,47,45,Send,UserID:2,bAssID=126,	//玩家出牌结果 	   
18,47,46,Send,UserID:0,bAssID=127,	//抓牌			   
18,47,46,Send,UserID:1,bAssID=127,	//抓牌			   
18,47,46,Send,UserID:2,bAssID=127,	//抓牌			   
18,47,47,Reply,UserId=0,bAssID=125,	//玩家出牌			 
18,47,47,Send,UserID:0,bAssID=126,	//玩家出牌结果 	   
18,47,47,Send,UserID:1,bAssID=126,	//玩家出牌结果 	   
18,47,47,Send,UserID:2,bAssID=126,	//玩家出牌结果 	   
18,47,48,Send,UserID:0,bAssID=127,	//抓牌			   
18,47,48,Send,UserID:1,bAssID=127,	//抓牌			   
18,47,48,Send,UserID:2,bAssID=127,	//抓牌			   
18,47,52,Reply,UserId=2,bAssID=125,	//玩家出牌			 
18,47,52,Send,UserID:0,bAssID=126,	//玩家出牌结果 	   
18,47,52,Send,UserID:1,bAssID=126,	//玩家出牌结果 	   
18,47,52,Send,UserID:2,bAssID=126,	//玩家出牌结果 	   
18,47,52,Send,UserID:0,bAssID=127,	//抓牌			   
18,47,52,Send,UserID:1,bAssID=127,	//抓牌			   
18,47,52,Send,UserID:2,bAssID=127,	//抓牌			   
18,47,54,Reply,UserId=1,bAssID=125,	//玩家出牌			 
18,47,54,Send,UserID:0,bAssID=126,	//玩家出牌结果 	   
18,47,54,Send,UserID:1,bAssID=126,	//玩家出牌结果 	   
18,47,54,Send,UserID:2,bAssID=126,	//玩家出牌结果 	   
18,47,55,Send,UserID:0,bAssID=127,	//抓牌			   
18,47,55,Send,UserID:1,bAssID=127,	//抓牌			   
18,47,55,Send,UserID:2,bAssID=127,	//抓牌			   
18,47,55,Reply,UserId=0,bAssID=125,	//玩家出牌			 
18,47,55,Send,UserID:0,bAssID=126,	//玩家出牌结果 	   
18,47,55,Send,UserID:1,bAssID=126,	//玩家出牌结果 	   
18,47,55,Send,UserID:2,bAssID=126,	//玩家出牌结果 	   
18,47,56,Send,UserID:0,bAssID=127,	//抓牌			   
18,47,56,Send,UserID:1,bAssID=127,	//抓牌			   
18,47,56,Send,UserID:2,bAssID=127,	//抓牌			   
18,47,57,Reply,UserId=2,bAssID=125,	//玩家出牌			 
18,47,57,Send,UserID:0,bAssID=126,	//玩家出牌结果 	   
