11,22,30,Send,UserID:1,bAssID=127,	//抓牌			   
11,22,30,Send,UserID:2,bAssID=127,	//抓牌			   
11,24,20,Reply,UserId=0,bAssID=125,	//玩家出牌			 
11,24,20,Send,UserID:0,bAssID=126,	//玩家出牌结果 	   
11,24,20,Send,UserID:1,bAssID=126,	//玩家出牌结果 	   
11,24,20,Send,UserID:2,bAssID=126,	//玩家出牌结果 	   
11,24,21,Send,UserID:0,bAssID=127,	//抓牌			   
11,24,21,Send,UserID:1,bAssID=127,	//抓牌			   
11,24,21,Send,UserID:2,bAssID=127,	//抓牌			   
11,24,27,Send,UserID:0,bAssID=180,
11,24,27,CalculateBoard,UserId=0,i64Money:0
11,24,27,Send,UserID:1,bAssID=180,
11,24,27,CalculateBoard,UserId=1,i64Money:0
11,24,27,Send,UserID:2,bAssID=180,
11,24,27,CalculateBoard,UserId=2,i64Money:0
13,49,53,Send,UserID:0,bAssID=181,
13,49,54,Reply,UserId=0,bAssID=1,    ///用户同意		 
13,50,02,Send,UserID:0,bAssID=180,
13,50,02,CalculateBoard,UserId=0,i64Money:0
16,52,48,ERROR_Station,RoomID=050939,byPlayCount:3
16,52,48,Send,UserID:0,bAssID=181,
16,52,50,Reply,UserId=0,bAssID=1,    ///用户同意		 
16,53,33,Send,UserID:0,bAssID=180,
16,53,33,CalculateBoard,UserId=0,i64Money:0
18,25,51,Send,UserID:0,bAssID=181,
18,25,52,Reply,UserId=0,bAssID=1,    ///用户同意		 
18,26,18,Send,UserID:0,bAssID=181,
18,26,18,Send,UserID:1,bAssID=181,
18,26,18,Reply,UserId=1,bAssID=1,    ///用户同意		 
18,26,18,Send,UserID:0,bAssID=120,	//升级游戏开始	   
18,26,19,Send,UserID:1,bAssID=120,	//升级游戏开始	   
18,26,19,Send,UserID:0,bAssID=121,	//确定至筛子点数	  
18,26,19,Send,UserID:1,bAssID=121,	//确定至筛子点数	  
18,26,22,Send,UserID:0,bAssID=122,	//发牌消息			 
18,26,22,Send,UserID:1,bAssID=122,	//发牌消息			 
18,26,23,Send,UserID:0,bAssID=123,	//通知开始出牌	   
