[WARN ][16/11/2017 15:23:34.609] :[000]In RemoveHandCard,i >= Result,is error,i:1,nResult:1
[WARN ][16/11/2017 15:23:35.671] :[756378]When Chi ,Remove hand cards failed,isvirtual:0
[WARN ][16/11/2017 15:23:35.921] :[000]In RemoveHandCard,i >= Result,is error,i:1,nResult:1
[WARN ][16/11/2017 15:23:35.921] :[756378]When Chi ,Remove hand cards failed,isvirtual:0
[WARN ][16/11/2017 15:23:35.921] :[000]In RemoveHandCard,i >= Result,is error,i:1,nResult:1
[WARN ][16/11/2017 15:23:35.921] :[756378]When Chi ,Remove hand cards failed,isvirtual:0
[DEBUG][28/11/2017 09:41:21.156] :[847501]before Check hu:0,1,1,0
[DEBUG][28/11/2017 09:41:21.156] :[847501]before Check hu:0,1,2,0
[DEBUG][28/11/2017 09:41:23.156] :[847501]before Check hu:1,1,0,2
[DEBUG][28/11/2017 09:41:23.156] :[847501]before Check hu:1,1,1,2
[DEBUG][28/11/2017 09:41:23.156] :[847501]before Check hu:1,1,2,2
[DEBUG][28/11/2017 09:41:30.093] :[847501]before Check hu:1,1,0,1
[DEBUG][28/11/2017 09:41:30.093] :[847501]before Check hu:1,1,1,1
[DEBUG][28/11/2017 09:41:30.093] :[847501]before Check hu:1,1,2,1
[DEBUG][28/11/2017 09:41:36.156] :[847501]before Check hu:1,1,0,0
[DEBUG][28/11/2017 09:41:36.156] :[847501]before Check hu:1,1,1,0
[DEBUG][28/11/2017 09:41:36.156] :[847501]before Check hu:1,1,2,0
[DEBUG][28/11/2017 09:41:54.203] :[847501]before Check hu:1,1,0,2
[DEBUG][28/11/2017 09:41:54.203] :[847501]before Check hu:1,1,1,2
[DEBUG][28/11/2017 09:41:54.203] :[847501]before Check hu:1,1,2,2
[DEBUG][28/11/2017 09:42:01.578] :[847501]before Check hu:0,1,0,0
[DEBUG][28/11/2017 09:42:01.578] :[847501]before Check hu:0,1,1,0
[DEBUG][28/11/2017 09:42:01.578] :[847501]before Check hu:0,1,2,0
[DEBUG][28/11/2017 09:42:03.578] :[847501]before Check hu:1,1,0,2
[DEBUG][28/11/2017 09:42:03.578] :[847501]before Check hu:1,1,1,2
[DEBUG][28/11/2017 09:42:03.578] :[847501]before Check hu:1,1,2,2
[DEBUG][28/11/2017 09:42:13.000] :[847501]before Check hu:0,1,0,1
[DEBUG][28/11/2017 09:42:13.000] :[847501]before Check hu:0,1,1,1
[DEBUG][28/11/2017 09:42:13.000] :[847501]before Check hu:0,1,2,1
[DEBUG][28/11/2017 09:42:15.000] :[847501]before Check hu:1,1,0,0
[DEBUG][28/11/2017 09:42:15.000] :[847501]before Check hu:1,1,1,0
[DEBUG][28/11/2017 09:42:15.000] :[847501]before Check hu:1,1,2,0
[DEBUG][28/11/2017 09:42:17.000] :[847501]before Check hu:1,1,0,0
[DEBUG][28/11/2017 09:42:17.000] :[847501]before Check hu:1,1,1,0
[DEBUG][28/11/2017 09:42:17.000] :[847501]before Check hu:1,1,2,0
[DEBUG][28/11/2017 09:42:22.765] :[847501]before Check hu:0,1,0,1
[DEBUG][28/11/2017 09:42:22.765] :[847501]before Check hu:0,1,1,1
[DEBUG][28/11/2017 09:42:22.765] :[847501]before Check hu:0,1,2,1
[DEBUG][28/11/2017 09:42:24.765] :[847501]before Check hu:1,1,0,0
[DEBUG][28/11/2017 09:42:24.765] :[847501]before Check hu:1,1,1,0
[DEBUG][28/11/2017 09:42:24.765] :[847501]before Check hu:1,1,2,0
[DEBUG][28/11/2017 09:42:29.531] :[847501]before Check hu:0,1,0,2
[DEBUG][28/11/2017 09:42:29.531] :[847501]before Check hu:0,1,1,2
[DEBUG][28/11/2017 09:42:29.531] :[847501]before Check hu:0,1,2,2
[DEBUG][28/11/2017 09:42:35.531] :[847501]before Check hu:0,1,0,0
[DEBUG][28/11/2017 09:42:35.531] :[847501]before Check hu:0,1,1,0
[DEBUG][28/11/2017 09:42:35.546] :[847501]before Check hu:0,1,2,0
[DEBUG][28/11/2017 09:42:38.578] :[847501]before Check hu:1,1,0,2
[DEBUG][28/11/2017 09:42:38.578] :[847501]before Check hu:1,1,1,2
[DEBUG][28/11/2017 09:42:38.578] :[847501]before Check hu:1,1,2,2
[DEBUG][28/11/2017 09:42:40.578] :[847501]before Check hu:1,1,0,1
[DEBUG][28/11/2017 09:42:40.578] :[847501]before Check hu:1,1,1,1
[DEBUG][28/11/2017 09:42:40.578] :[847501]before Check hu:1,1,2,1
[DEBUG][28/11/2017 09:42:44.203] :[847501]before Check hu:1,1,0,0
