11,54,04,房间00,密码,选项0,00,00,			游戏状态,0,提示信息,用户进入,用户,0
11,54,05,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
11,54,06,房间00,密码,选项0,00,00,		游戏状态,1,客户端, 0,同意游戏			
11,54,06,房间00,密码,选项0,00,00,		游戏状态,1,定时器,40,
11,55,19,房间00,密码,选项0,00,00,			游戏状态,1,提示信息,用户进入,用户,1
11,55,20,房间00,密码,选项0,00,00,		游戏状态,1,定时器,40,
11,55,21,房间00,密码,选项0,00,00,		游戏状态,1,客户端, 1,同意游戏			
11,55,21,房间00,密码,选项0,00,00,			游戏状态,20,服务器,游戏开始			,iBeenPlayGame=1,iBaseNote=100000,iLimitNote=2480923,bUserState{[0]=1[1]=1[2]=0[3]=0},bIsSuperUser=0,bChangeRobotCard=0,iAllTotalNote=200000
11,55,21,房间00,密码,选项0,00,00,			游戏状态,20,服务器,本轮限注			,iNoteTime=0,iLimit=0
11,55,23,房间00,密码,选项0,00,00,		游戏状态,20,定时器,30,发牌定时器 
11,55,23,房间00,密码,选项0,00,00,			游戏状态,20,服务器,发牌信息			,iStartPos=0,iCardList={[0]=_0x3D_0x19_0x00_0x00_0x00[1]=_0x39_0x1B_0x00_0x00_0x00[2]=_0x00_0x00_0x00_0x00_0x00[3]=_0x00_0x00_0x00_0x00_0x00},iCardCount{[0]=2[1]=2[2]=0[3]=0},iFirstSendCardCount=2
11,55,26,房间00,密码,选项0,00,00,		游戏状态,20,定时器,30,发牌定时器 
11,55,26,房间00,密码,选项0,00,00,			游戏状态,20,服务器,发牌完成			,bDeskStatin=0
11,55,26,房间00,密码,选项0,00,00,			游戏状态,22,服务器,开始游戏			,bDeskStaton=1,bCanCheck=1,iNoteBottom=100000,iNoteTop=2380923
11,55,35,房间00,密码,选项0,00,00,			游戏状态,22,客户端, 1,用户处理			,bBet=0,iVrebType=1,iNote=1100000}
11,55,35,房间00,密码,选项0,00,00,			游戏状态,22,服务器,下注结果			,bBet{[0]=0[1]=0[2]=0[3]=0},bNoteStyle=1,iOutPeople=1,iCurNote=1100000,iPlayerTotalNote{[0]=100000[1]=1200000[2]=0[3]=0},iAllTotalNote=1300000,iUserCardCount{[0]=2[1]=2[2]=0[3]=0},iUserCard={[0]=_0x3D_0x19_0x0D_0x09_0x18[1]=_0x39_0x1B_0x07_0x08_0x2D[2]=_0x27_0x1C_0x2C_0x1A_0x0A[3]=_0x38_0x3B_0x0C_0x37_0x2B}
11,55,37,房间00,密码,选项0,00,00,		游戏状态,22,定时器,37,等待下注动画完成计时器 
11,55,37,房间00,密码,选项0,00,00,			游戏状态,22,服务器,下注			  ,bNewTurn=0,bBet{[0]=0[1]=0[2]=0[3]=0},bAddTimes=0,bNoteTimes=1,iNowBigNoteStyle=1,iOutPeople=0,m_byUserAddNum{[0]=0[1]=1[2]=0[3]=0},iNowBigNote=1100000,iTotalNote=1300000,bCanCheck=0,iNoteBottom=1200000,iNoteTop=2380923
11,55,44,房间00,密码,选项0,00,00,			游戏状态,22,客户端, 0,用户处理			,bBet=0,iVrebType=3,iNote=0}
11,55,44,房间00,密码,选项0,00,00,			游戏状态,22,服务器,下注结果			,bBet{[0]=0[1]=0[2]=0[3]=0},bNoteStyle=3,iOutPeople=0,iCurNote=1100000,iPlayerTotalNote{[0]=1200000[1]=1200000[2]=0[3]=0},iAllTotalNote=2400000,iUserCardCount{[0]=2[1]=2[2]=0[3]=0},iUserCard={[0]=_0x3D_0x19_0x0D_0x09_0x18[1]=_0x39_0x1B_0x07_0x08_0x2D[2]=_0x27_0x1C_0x2C_0x1A_0x0A[3]=_0x38_0x3B_0x0C_0x37_0x2B}
11,55,45,房间00,密码,选项0,00,00,		游戏状态,22,定时器,37,等待下注动画完成计时器 
11,55,46,房间00,密码,选项0,00,00,		游戏状态,22,定时器,35,收集动画 
11,55,46,房间00,密码,选项0,00,00,			游戏状态,22,服务器,收集筹码			,JetonTotal=922211068,bDeskStation=133
11,55,47,房间00,密码,选项0,00,00,		游戏状态,22,定时器,33,发送一张牌 
11,55,47,房间00,密码,选项0,00,00,			游戏状态,22,服务器,新发一张牌		   ,iTurnCard{[0]=13[1]=7[2]=0[3]=0},bStartPos=1
11,55,48,房间00,密码,选项0,00,00,		游戏状态,22,定时器,33,发送一张牌 
11,55,48,房间00,密码,选项0,00,00,			游戏状态,22,服务器,下注			  ,bNewTurn=1,bBet{[0]=0[1]=0[2]=0[3]=0},bAddTimes=0,bNoteTimes=2,iNowBigNoteStyle=0,iOutPeople=0,m_byUserAddNum{[0]=0[1]=0[2]=0[3]=0},iNowBigNote=0,iTotalNote=0,bCanCheck=1,iNoteBottom=100000,iNoteTop=1280923
11,55,52,房间00,密码,选项0,00,00,			游戏状态,22,客户端, 0,用户处理			,bBet=0,iVrebType=4,iNote=0}
11,55,52,房间00,密码,选项0,00,00,			游戏状态,22,服务器,下注结果			,bBet{[0]=0[1]=0[2]=0[3]=0},bNoteStyle=4,iOutPeople=0,iCurNote=1280923,iPlayerTotalNote{[0]=2480923[1]=1200000[2]=0[3]=0},iAllTotalNote=3680923,iUserCardCount{[0]=3[1]=3[2]=0[3]=0},iUserCard={[0]=_0x3D_0x19_0x0D_0x09_0x18[1]=_0x39_0x1B_0x07_0x08_0x2D[2]=_0x27_0x1C_0x2C_0x1A_0x0A[3]=_0x38_0x3B_0x0C_0x37_0x2B}
