2018-03-10 11:21:39-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1401 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:39-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1401 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:39-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1401 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:39-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1401 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:39-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:778:[IM] hn1401 成功获取房间信息ASS_GP_LIST_ROOM
2018-03-10 11:21:39-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::EnterGameRoom:1049:[IM] hn1401 建立GameRoomEx
2018-03-10 11:21:40-[17856]GameRoomEx.cpp:CGameRoomEx::LoginGServer:562:[IG] hn1401 登陆GServer
2018-03-10 11:21:40-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:463:[IM] 连接MServer事件dzb.hotniao.com:3015-0
2018-03-10 11:21:40-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1001:[IM] hn1402 登陆Mserver
2018-03-10 11:21:41-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:633:[IM] hn1402 登陆成功
2018-03-10 11:21:41-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:737:[IM] hn1402 请求游戏列表
2018-03-10 11:21:41-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:749:[IM] hn1402 成功获取游戏类型ASS_GP_LIST_KIND
2018-03-10 11:21:41-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1402 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:41-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1402 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:41-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1402 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:41-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1402 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:41-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:778:[IM] hn1402 成功获取房间信息ASS_GP_LIST_ROOM
2018-03-10 11:21:41-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::EnterGameRoom:1049:[IM] hn1402 建立GameRoomEx
2018-03-10 11:21:42-[17856]GameRoomEx.cpp:CGameRoomEx::LoginGServer:562:[IG] hn1402 登陆GServer
2018-03-10 11:21:42-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:463:[IM] 连接MServer事件dzb.hotniao.com:3015-0
2018-03-10 11:21:42-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1001:[IM] hn1404 登陆Mserver
2018-03-10 11:21:43-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:633:[IM] hn1404 登陆成功
2018-03-10 11:21:43-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:737:[IM] hn1404 请求游戏列表
2018-03-10 11:21:43-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:749:[IM] hn1404 成功获取游戏类型ASS_GP_LIST_KIND
2018-03-10 11:21:43-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1404 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:43-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1404 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:43-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1404 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:43-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1404 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:43-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:778:[IM] hn1404 成功获取房间信息ASS_GP_LIST_ROOM
2018-03-10 11:21:43-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::EnterGameRoom:1049:[IM] hn1404 建立GameRoomEx
2018-03-10 11:21:44-[17856]GameRoomEx.cpp:CGameRoomEx::LoginGServer:562:[IG] hn1404 登陆GServer
