11, 07, 32, 房间00, 密码378578, 12047e21, 03, 00, 		游戏状态, 1, 定时器, 51, 
11, 07, 32, 房间00, 密码, 12047e21, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
11, 30, 28, 房间01, 密码980066, 12047f02, 03, 00, 游戏状态, 1, 用户进入, 0
11, 31, 10, 房间00, 密码378578, 12047e21, 03, 00, 		游戏状态, 1, 定时器, 51, 
11, 31, 10, 房间00, 密码, 12047e21, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
11, 34, 03, 房间01, 密码980066, 12047f02, 03, 00, 		游戏状态, 1, 定时器, 51, 
11, 34, 03, 房间01, 密码, 12047f02, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
15, 37, 57, 房间00, 密码101103, 12047e22, 03, 00, 游戏状态, 1, 用户进入, 0
17, 35, 32, 房间00, 密码836185, 12047e28, 03, 00, 游戏状态, 1, 用户进入, 0
17, 35, 42, 房间00, 密码836185, 12047e28, 03, 00, 游戏状态, 1, 用户进入, 1
17, 35, 47, 房间00, 密码836185, 12047e28, 03, 00, 游戏状态, 24, 服务器, 游戏开始				
17, 35, 49, 房间00, 密码836185, 12047e28, 03, 00, 		游戏状态, 24, 定时器, 38, 游戏开始定时器		 
17, 35, 50, 房间00, 密码836185, 12047e28, 03, 00, 		游戏状态, 22, 定时器, 33, 发牌结束定时器
17, 35, 50, 房间00, 密码836185, 12047e28, 03, 00, 游戏状态, 22, 服务器, 发牌完成		   		
17, 35, 51, 房间00, 密码836185, 12047e28, 03, 00, 		游戏状态, 20, 定时器, 48, 
17, 35, 55, 房间00, 密码836185, 12047e28, 03, 00, 		游戏状态, 20, 定时器, 36, 抢庄定时器		   
17, 36, 20, 房间00, 密码836185, 12047e28, 03, 00, 			游戏状态, 20, 服务器, 通知抢庄结束	   		, bNTDeskStation=0, byUserState={[0]=255[1]=255[2]=255[3]=255[4]=255[5]=255}, bCatchNum={[0]=1[1]=1[2]=255[3]=255[4]=255[5]=255}, bShowDing=1
17, 36, 24, 房间00, 密码836185, 12047e28, 03, 00, 		游戏状态, 20, 定时器, 37, 抢庄结束定时器		 
17, 36, 24, 房间00, 密码836185, 12047e28, 03, 00, 游戏状态, 21, 服务器, 通知下注		   		
17, 36, 25, 房间00, 密码836185, 12047e28, 03, 00, 		游戏状态, 21, 定时器, 48, 
17, 36, 28, 房间00, 密码836185, 12047e28, 03, 00, 		游戏状态, 21, 定时器, 32, 下注完成定时器
