09, 22, 08, 房间00, 密码476101, 12047e22, 03, 00, 		游戏状态, 1, 定时器, 51, 
09, 22, 08, 房间00, 密码, 12047e22, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
09, 23, 58, 房间01, 密码606150, 12047e22, 03, 00, 		游戏状态, 1, 定时器, 51, 
09, 23, 58, 房间01, 密码, 12047e22, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
09, 24, 59, 房间02, 密码702608, 12047e22, 03, 00, 		游戏状态, 1, 定时器, 51, 
09, 24, 59, 房间02, 密码, 12047e22, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
09, 25, 24, 房间00, 密码677228, 12047e22, 03, 00, 		游戏状态, 1, 定时器, 51, 
09, 25, 24, 房间00, 密码, 12047e22, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
11, 27, 35, 房间00, 密码512561, 12047e22, 03, 00, 游戏状态, 1, 用户进入, 0
12, 33, 47, 房间00, 密码824908, 12047e22, 03, 00, 游戏状态, 1, 用户进入, 0
12, 37, 04, 房间00, 密码824908, 12047e22, 03, 00, 		游戏状态, 1, 定时器, 51, 
12, 37, 04, 房间00, 密码, 12047e22, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
12, 38, 25, 房间00, 密码166415, 12047e22, 03, 00, 游戏状态, 1, 用户进入, 0
16, 17, 02, 房间00, 密码775586, 00000000, 03, 00, 		游戏状态, 1, 定时器, 51, 
16, 17, 02, 房间00, 密码, 00000000, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
16, 18, 35, 房间00, 密码010302, 12047e28, 03, 00, 游戏状态, 1, 用户进入, 0
16, 20, 13, 房间00, 密码010302, 12047e28, 03, 00, 游戏状态, 1, 用户进入, 1
16, 20, 16, 房间00, 密码010302, 12047e28, 03, 00, 游戏状态, 24, 服务器, 游戏开始				
16, 20, 18, 房间00, 密码010302, 12047e28, 03, 00, 		游戏状态, 24, 定时器, 38, 游戏开始定时器		 
16, 20, 18, 房间00, 密码010302, 12047e28, 03, 00, 			游戏状态, 22, 服务器, 通知发牌信息	   		, iStartPos=0, iUserCard={[0]=_0x33_0x3B_0x27_0x21_0x02[1]=_0x12_0x25_0x04_0x08_0x37[2]=_0x00_0x00_0x00_0x00_0x00[3]=_0x00_0x00_0x00_0x00_0x00[4]=_0x00_0x00_0x00_0x00_0x00[5]=_0x00_0x00_0x00_0x00_0x00}, iUserCardCount={[0]=5[1]=5[2]=0[3]=0[4]=0[5]=0}
16, 20, 20, 房间00, 密码010302, 12047e28, 03, 00, 		游戏状态, 22, 定时器, 33, 发牌结束定时器
16, 20, 20, 房间00, 密码010302, 12047e28, 03, 00, 游戏状态, 22, 服务器, 发牌完成		   		
16, 20, 24, 房间00, 密码010302, 12047e28, 03, 00, 			游戏状态, 20, 服务器, 通知抢庄结束	   		, bNTDeskStation=0, byUserState={[0]=255[1]=255[2]=255[3]=255[4]=255[5]=255}, bCatchNum={[0]=1[1]=1[2]=255[3]=255[4]=255[5]=255}, bShowDing=1
16, 20, 27, 房间00, 密码010302, 12047e28, 03, 00, 		游戏状态, 20, 定时器, 37, 抢庄结束定时器		 
16, 20, 27, 房间00, 密码010302, 12047e28, 03, 00, 游戏状态, 21, 服务器, 通知下注		   		
16, 20, 30, 房间00, 密码010302, 12047e28, 03, 00, 		游戏状态, 21, 定时器, 32, 下注完成定时器
16, 20, 30, 房间00, 密码010302, 12047e28, 03, 00, 			游戏状态, 23, 服务器, 通知开牌摆牛	   		, iOutDeskStation=1
16, 20, 41, 房间00, 密码010302, 12047e28, 03, 00, 		游戏状态, 23, 定时器, 34, 自动摆牛计时器
16, 21, 02, 房间00, 密码010302, 12047e28, 03, 00, 			游戏状态, 23, 服务器, 大结算					, [0]={bWinner=0_dwUserID=10251										_iNTCount=0										_i64WinMoney=0, [1]={bWinner=0_dwUserID=10389										_iNTCount=0										_i64WinMoney=0, [2]={bWinner=0_dwUserID=0										_iNTCount=0										_i64WinMoney=0, [3]={bWinner=0_dwUserID=0										_iNTCount=0										_i64WinMoney=0, [4]={bWinner=0_dwUserID=0										_iNTCount=0										_i64WinMoney=0, [5]={bWinner=0_dwUserID=0										_iNTCount=0										_i64WinMoney=0
16, 21, 14, 房间00, 密码757781, 12047e22, 03, 00, 游戏状态, 1, 用户进入, 0
16, 21, 47, 房间00, 密码757781, 12047e22, 03, 00, 游戏状态, 1, 用户进入, 1
16, 21, 51, 房间00, 密码757781, 12047e22, 03, 00, 游戏状态, 24, 服务器, 游戏开始				
16, 21, 53, 房间00, 密码757781, 12047e22, 03, 00, 		游戏状态, 24, 定时器, 38, 游戏开始定时器		 
