09, 21, 51, 房间00, 密码587527, 12047e22, 03, 00, 游戏状态, 1, 用户进入, 0
09, 21, 52, 房间00, 密码587527, 12047e22, 03, 00, 游戏状态, 1, 用户进入, 1
09, 22, 43, 房间00, 密码587527, 12047e22, 03, 00, 游戏状态, 24, 服务器, 游戏开始				
09, 22, 45, 房间00, 密码587527, 12047e22, 03, 00, 		游戏状态, 24, 定时器, 38, 游戏开始定时器		 
09, 22, 45, 房间00, 密码587527, 12047e22, 03, 00, 			游戏状态, 20, 服务器, 通知抢庄结束	   		, bNTDeskStation=1, byUserState={[0]=255[1]=255[2]=255[3]=255[4]=255[5]=255}, bCatchNum={[0]=255[1]=255[2]=255[3]=255[4]=255[5]=255}, bShowDing=1
09, 22, 49, 房间00, 密码587527, 12047e22, 03, 00, 		游戏状态, 20, 定时器, 37, 抢庄结束定时器		 
09, 22, 49, 房间00, 密码587527, 12047e22, 03, 00, 游戏状态, 21, 服务器, 通知下注		   		
09, 22, 59, 房间00, 密码587527, 12047e22, 03, 00, 		游戏状态, 21, 定时器, 31, 下注计时器	
09, 23, 21, 房间00, 密码587527, 12047e22, 03, 00, 		游戏状态, 21, 定时器, 32, 下注完成定时器
09, 23, 21, 房间00, 密码587527, 12047e22, 03, 00, 			游戏状态, 22, 服务器, 通知发牌信息	   		, iStartPos=1, iUserCard={[0]=_0x07_0x16_0x24_0x2C_0x17[1]=_0x08_0x03_0x32_0x26_0x02[2]=_0x00_0x00_0x00_0x00_0x00[3]=_0x00_0x00_0x00_0x00_0x00[4]=_0x00_0x00_0x00_0x00_0x00[5]=_0x00_0x00_0x00_0x00_0x00}, iUserCardCount={[0]=5[1]=5[2]=0[3]=0[4]=0[5]=0}
09, 23, 22, 房间00, 密码587527, 12047e22, 03, 00, 		游戏状态, 22, 定时器, 33, 发牌结束定时器
09, 23, 22, 房间00, 密码587527, 12047e22, 03, 00, 游戏状态, 22, 服务器, 发牌完成		   		
09, 23, 22, 房间00, 密码587527, 12047e22, 03, 00, 			游戏状态, 23, 服务器, 通知开牌摆牛	   		, iOutDeskStation=1
09, 23, 32, 房间00, 密码587527, 12047e22, 03, 00, 		游戏状态, 23, 定时器, 34, 自动摆牛计时器
09, 24, 12, 房间00, 密码587527, 12047e22, 03, 00, 			游戏状态, 23, 客户端,  1, 玩家摆牛		   		, byDeskStation=1, bReadyOpenCard{, byUnderCard{[0]=0x00[1]=0x00[2]=0x00}, byUpCard{[0]=0x00[1]=0x00}, iShape=0
