02, 41, 04, 房间00, 密码596875, 12107f02, 03, 00, 		游戏状态, 1, 定时器, 51, 
02, 41, 04, 房间00, 密码, 12107f02, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
02, 55, 19, 房间00, 密码596875, 12107f02, 03, 00, 		游戏状态, 1, 定时器, 51, 
02, 55, 19, 房间00, 密码, 12107f02, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
03, 39, 57, 房间00, 密码596875, 12107f02, 03, 00, 		游戏状态, 1, 定时器, 51, 
03, 39, 57, 房间00, 密码, 12107f02, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
03, 43, 45, 房间00, 密码596875, 12107f02, 03, 00, 		游戏状态, 1, 定时器, 51, 
03, 43, 45, 房间00, 密码, 12107f02, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
16, 30, 08, 房间00, 密码302522, 12047e21, 03, 00, 游戏状态, 1, 用户进入, 0
16, 30, 32, 房间00, 密码302522, 12047e21, 03, 00, 游戏状态, 1, 用户进入, 1
16, 35, 16, 房间00, 密码302522, 12047e21, 03, 00, 		游戏状态, 1, 定时器, 51, 
16, 35, 16, 房间00, 密码, 12047e21, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
16, 39, 34, 房间00, 密码739151, 1208be48, 03, 00, 游戏状态, 1, 用户进入, 0
16, 39, 46, 房间00, 密码739151, 1208be48, 03, 00, 游戏状态, 1, 用户进入, 1
16, 58, 12, 房间00, 密码739151, 1208be48, 03, 00, 		游戏状态, 1, 定时器, 51, 
16, 58, 12, 房间00, 密码, 1208be48, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
19, 22, 03, 房间00, 密码461181, 12047e22, 03, 00, 游戏状态, 1, 用户进入, 0
23, 20, 49, 房间00, 密码481487, 12047e22, 03, 00, 		游戏状态, 1, 定时器, 51, 
23, 20, 49, 房间00, 密码, 12047e22, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
23, 20, 53, 房间01, 密码587096, 00000000, 03, 00, 		游戏状态, 1, 定时器, 51, 
23, 20, 53, 房间01, 密码, 00000000, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
