16,12,26,房间00,密码,00000000,00,00,			游戏状态,0,提示信息,用户进入,0
16,12,34,房间00,密码,00000000,00,00,		游戏状态,0,客户端, 0,代入金币限制
16,12,34,房间00,密码,00000000,00,00,游戏状态,0,服务器,显示代入金额
16,12,48,房间00,密码,00000000,00,00,			游戏状态,0,提示信息,用户退出,0
16,12,48,房间00,密码,00000000,00,00,游戏状态,0,服务器,用户离开
16,17,05,房间00,密码,00000000,00,00,			游戏状态,0,提示信息,用户进入,0
16,17,18,房间00,密码,00000000,00,00,		游戏状态,0,客户端, 0,代入金币限制
16,17,18,房间00,密码,00000000,00,00,游戏状态,0,服务器,显示代入金额
16,18,02,房间00,密码,00000000,00,00,			游戏状态,0,提示信息,用户退出,0
16,18,02,房间00,密码,00000000,00,00,游戏状态,0,服务器,用户离开
17,12,29,房间00,密码,00000000,00,00,			游戏状态,0,提示信息,用户进入,0
17,12,32,房间00,密码,00000000,00,00,		游戏状态,0,客户端, 0,代入金币限制
17,12,32,房间00,密码,00000000,00,00,游戏状态,0,服务器,显示代入金额
17,12,35,房间00,密码,00000000,00,00,			游戏状态,0,提示信息,用户退出,0
17,12,35,房间00,密码,00000000,00,00,游戏状态,0,服务器,用户离开
18,48,32,房间00,密码,00000000,00,00,			游戏状态,0,提示信息,用户进入,0
18,48,34,房间00,密码,00000000,00,00,		游戏状态,0,客户端, 0,代入金币限制
18,48,34,房间00,密码,00000000,00,00,游戏状态,0,服务器,显示代入金额
18,48,41,房间00,密码,00000000,00,00,			游戏状态,0,提示信息,用户退出,0
18,48,41,房间00,密码,00000000,00,00,游戏状态,0,服务器,用户离开
